1¡¢ÄúµÄÐÔ±ð,2¡¢ÄúµÄ»î¶¯±àºÅ,"3¡¢ÄúÐÄÒâ¶ÔÏóµÄ»î¶¯±àºÅ£¨ÖÁ¶à¿ÉÑ¡Ôñ8Î»£¬°´ÐÄÒÇË³ÐòÒÀ´ÎÌîÈëÒÔÏÂ°Ë¸öÌî¿ÕÖÐ£©µÚÒ»Ë³Î»±àºÅ",4¡¢µÚ¶þË³Î»±àºÅ,5¡¢µÚÈýË³Î»±àºÅ,6¡¢µÚËÄË³Î»±àºÅ,7¡¢µÚÎåË³Î»±àºÅ,8¡¢µÚÁùË³Î»±àºÅ,9¡¢µÚÆßË³Î»±àºÅ,10¡¢µÚ°ËË³Î»±àºÅ
ÄÐ,137,254,247,1104,1-54,294,100,2105,297
ÄÐ,203,74,126,102,173,164,114,ÎÞ,ÎÞ
ÄÐ,11,1-42,140,202,125,284,161,245,132
ÄÐ,71,288,187,(¿Õ),(¿Õ),(¿Õ),(¿Õ),(¿Õ),(¿Õ)
ÄÐ,105,216,220,298,262,105,213,226,1-48
ÄÐ,207,129,244,2104,140,160,261,189,102
ÄÐ,54,189,2-38,2-66,102,260,144,2101,132
Å®,13,162,101,102,261,189,225,226,1-17
ÄÐ,295,245,265,255,244,261,189,107,122
ÄÐ,254,144,193,261,238,104,189,20,(¿Õ)
ÄÐ,145,268,198,103,259,2-17,1-30,1105,298
Å®,3,140,189,144,111,265,202,203,297
Å®,140,162,173,120,285,125,241,(¿Õ),(¿Õ)
Å®,1103,132,2105,277,232,1-42,267,147,32
Å®,67,58,137,5,167,194,173,98,189
Å®,157,2105,247,1-24,193,104,129,1-62,189
Å®,286,216,189,1-62,273,255,152,70,40
ÄÐ,158,164,145,74,25,32,19,205,18
Å®,172,164,91,37,110,148,194,139,89
ÄÐ,146,285,192,254,279,129,108,187,45
ÄÐ,147,295,245,265,255,244,261,116,148
ÄÐ,1,254,144,193,261,238,104,2104,238
ÄÐ,125,5,194,58,33,0,38,249,191
ÄÐ,2100,11,75,77,74,68,114,153,74
ÄÐ,133,91,5,162,116,19,64,69,203
Å®,2-28,199,243,202,277,104,255,83,148
Å®,191,102,127,166,189,193,197,56,97
ÄÐ,190,70,164,64,19,167,106,273,255
ÄÐ,199,11,114,197,75,140,6,55,111
Å®,223,1104,2100,134,288,247,260,225,196
Å®,99,186,164,258,170,162,127,1104,189
ÄÐ,19,116,132,20,74,1,93,296,129
ÄÐ,264,1104,162,189,104,1102,129,74,(¿Õ)
Å®,211,1105,1104,220,2-39,293,260,24,70
Å®,169,149,194,164,141,186,70,164,20
Å®,131,35,170,42,94,102,17,103,58
Å®,232,164,176,75,55,127,157,(¿Õ),14
Å®,2052,91,0,193,190,6,122,12,94
ÄÐ,133,103,74,298,127,160,163,201,282
ÄÐ,227,5,77,190,121,69,58,55,20
Å®,202,37,251,112,116,182,164,140,147
Å®,134,201,221,122,190,153,116,158,23
Å®,174,198,83,2-69,100,265,2104,156,(¿Õ)
Å®,160,124,91,205,167,153,81,14,66
ÄÐ,253,102,74,190,6,19,43,17,25
Å®,156,260,194,273,119,102,129,160,143
Å®,128,106,160,193,172,244,105,140,255
ÄÐ,233,12,25,197,55,126,193,102,58
ÄÐ,149,1-42,167,151,1-62,245,125,167,265
Å®,230,5,273,119,164,(¿Õ),(¿Õ),(¿Õ),(¿Õ)
Å®,206,162,274,288,177,187,2105,138,165
Å®,194,1104,1-17,106,108,285,249,296,105
Å®,16,166,25,293,130,285,295,156,203
Å®,25,202,121,1104,226,142,170,129,105
Å®,276,128,228,176,17,194,83,93,196
ÄÐ,7,103,11,(¿Õ),(¿Õ),(¿Õ),(¿Õ),(¿Õ),(¿Õ)
Å®,257,201,20,5,176,114,128,164,83
Å®,256,140,102,(¿Õ),(¿Õ),(¿Õ),(¿Õ),(¿Õ),(¿Õ)
Å®,115,103,153,194,232,228,226,187,260
ÄÐ,170,1122,102,249,1194,1132,225,(¿Õ),(¿Õ)
Å®,203,197,244,285,225,244,189,245,297
Å®,195,164,(¿Õ),182,167,102,74,85,5
ÄÐ,282,190,187,58,5,20,170,148,134
ÄÐ,23,102,285,293,201,2104,143,266,244
Å®,2037,164,251,193,8,102,127,20,137
ÄÐ,265,51,221,58,74,91,121,164,193
Å®,193,193,83,189,1104,265,129,235,237
ÄÐ,218,186,91,114,194,201,74,140,32
ÄÐ,48,178,74,277,1-30,134,221,220,295
ÄÐ,178,224,194,165,142,223,248,277,199
ÄÐ,107,186,128,102,164,32,(¿Õ),(¿Õ),(¿Õ)
Å®,0,139,267,258,135,(¿Õ),(¿Õ),(¿Õ),(¿Õ)
ÄÐ,2-82,153,112,32,114,173,128,83,58
Å®,244,20,5,33,116,58,190,162,175
Å®,50,164,268,285,261,2100,1105,288,197
ÄÐ,14,102,258,281,296,109,251,289,241
Å®,140,125,1105,189,194,297,262,279,239
ÄÐ,214,194,124,148,181,117,70,6,197
Å®,223,58,0,102,189,101,12,225,129
Å®,290,102,245,1104,265,140,2-38,(¿Õ),298
ÄÐ,142,2105,2103,285,281,164,139,82,11
Å®,246,102,5,20,194,(¿Õ),(¿Õ),164,153
Å®,106,205,186,193,5,153,196,190,114
ÄÐ,249,134,103,143,260,166,1105,20,162
Å®,164,2104,298,1-43,221,247,201,117,170
ÄÐ,151,207,53,106,190,121,148,1190,33
ÄÐ,87,128,37,164,196,176,25,144,115
Å®,194,117,178,102,110,128,131,52,5
ÄÐ,235,128,186,5,83,58,42,37,102
Å®,10,190,111,119,55,102,6,225,46
Å®,127,1104,108,258,288,245,265,(¿Õ),164
ÄÐ,103,273,232,194,198,260,2£­66,14,170
ÄÐ,210,182,164,194,190,149,20,19,42
ÄÐ,289,196,70,173,148,58,158,0,37
Å®,139,102,70,1,61,87,126,100,267
Å®,73,137,150,190,205,46,37,249,186
Å®,268,140,244,261,189,197,216,(¿Õ),285
Å®,154,186,244,32,102,167,114,74,164
Å®,108,173,102,164,183,140,167,5,273
Å®,266,286,102,1105,130,226,192,162,274
Å®,162,102,265,244,189,255,197,1104,1-17
ÄÐ,153,164,(¿Õ),140,173,32,102,166,25
Å®,163,201,58,148,122,141,53,202,121
ÄÐ,121,117,2100,110,58,122,196,128,228
Å®,118,164,297,102,83,32,176,201,20
Å®,220,164,101,110,140,173,131,140,102
ÄÐ,28,149,140,78,13,16,190,108,
ÄÐ,2-34,164,(¿Õ),140,173,32,102,166,25
Å®,26,103,153,121,111,194,100,20,5
Å®,40,186,247,269,267,293,102,298,162
Å®,196,1-17,297,282,66,164,2-38,101,1104
ÄÐ,136,102,244,198,293,125,170,119,202
ÄÐ,116,122,111,(¿Õ),(¿Õ),(¿Õ),(¿Õ),(¿Õ),5
Å®,,,,,,,,,
Å®,,,,,,,,,
Å®,,,,,,,,,
Å®,,,,,,,,,
